Sighting Date,Reported Date,Place,Shape,Time,Comments,Disaster
20100101,20100101," Lemon Grove, CA", circle,10 min,Three red lights in formation on New Years Eve right at midnight((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD)),
20100101,20100101," Albuquerque, NM", light,Half an hour,My wife and I were outside in the Jacuzzi when she first saw a light.  It glowed and traveled from north to south.  It lit up again when I then saw it and then dimmed and traveled further south and then disappeared.   About twenty minutes latter as I looked toward the upward northwest sky I saw another light glow and travel at the same time.  It dimmed and kept moving west to east.  It lit again and traveled some more and then disappeared.  I have seen something similar and wonder what it is.  My wife saw a flying wing last year and we see other lights on occasion.  Ufo&rsquo;s maybe I don&rsquo;t know.((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD)),
20100101,20100101," Willow, AK", formation,7 min,four orange red objects suddenly appear 12:01 am new years move north then south and dissapearfour orangish red objects appeared westerly then proceded to move north.Two objects coasted glided southerly then disappeared.  Objects northerly returned south then blinked out.((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD)),
20100101,20100101," Nottingham (UK/England),", triangle,5-10 seconds,"Triangul shaped UFO, 3 bright white lights w/ red glowing light in the middle, large in size, made no noise, was pretty fastOf what I can remember:  The UFO was seen around 4.42am on 2nd January 2010 (i posted a twit on my twitter at 4.44am about it).  There was only one of them.  I noticed it because it had three very bright white lights on a triangular shaped object about the size of 3-4 king size beds (sorry that I can&apos;t be any more accurate).  It had a red light in the middle which went brighter and dimmmer.  I only seen it for up to 10seconds, I have limited view outside my bedroom window and it went pretty fast.  It didn&apos;t make any noise though.  I think the colour must have been black, or something very dark, its dark outside so i would have noticed it if was very colourful.Hmm, about me: I&apos;m 19 yrs old, a makeup artist/model from Nottigham, England. That should be sufficient",
20100101,20100101," Lake Worth, FL", circle,2 min.,"orange sphere. no sound at all.orange ball of light over shore line heading north. speed 300 to 500 mph no sound at all. Altitude maybe l,000 to 3.000 ft.  I am a security guard. I was leaving for work.((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",
20100101,20100101," Lemon Grove, CA", circle,20 min,Four red lights in formation on july fourth((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD)),
20100101,20100101," Naples, FL", sphere,2 min,"i&apos;m in naples park. last night, my husband and I were sitting outside --neighbors lighting off fireworks, etc.  We&apos;re under a lanai and it was about 12:05 or so. We look up and there are 3 red lights. Equally spaced apart in a straight line.  All of a sudden they moved north (together) then stopped in a triangular formation.  It hovered there for about a minute or so then the light at the north end dimmed and disappeared following by the light on the bottom right corner.  We stood watching when the final red orb also disappeared. It was bizarr-o.  Definatly has me doing a little more research today.Here is my video. pardon the language. it was new year eve and we were a litte surprised:  http://www.youtube.com/watch?v=2zNHvvULhwQ",
20100101,20100101," La Mesa, CA", light,10 min,Three red lights over southern California that made a triangle shapeMy wife and I saw three red lights in the sky looking towards the west from our house in La Mesa California.  The lights made a triangle shape and were moving across the sky.  As if they were moving south.  The front one broke off and proceeded to move away form the other two.Then the one that broke off just vanished.  The other two were there for a few more minutes then disappeared as well.The total time that I had witnessed the lights in the sky over Southern California was about 10 minutes.,
20100101,20100101," Burbage, Leicestershire (UK/England),", circle,ONE HOUR,"BURBAGE,LEIC,UK.1/1/2010.  26 BRIGHT ORANGE UFO`S .FLYING IN STAGARD FORMATION OVER AN HOUR ACROSS THE SKYS ALL GOING IN SAME DIRECTIONLAST NIGHT AT 12:00 MY WIFE AINGND MYSELF WENT INTO OUR GARDEN TO FILM THE BRIGHT ORANGE UFO`S THAT REPEATEDLY FLEW FROM DIFFERENT DIRECTIONS OVER OUR VILLAGE.WE COUNTED 26 OVER AN HOUR,THEY FLEW IN FORMATION ALL GOING THE SAME DIRECTION,THIS WAS INTELLEGENT FLIGHT,SAME ALTITUDE,SAME SPEEDS.IT WAS A VERY CLEAR NIGHT WITH A VERY BRIGHT MOON NO CLOUD AND ONLY 4 STARS I COULD SEE AND 26 OF THESE VERY BRIGHT GLOWING ORANGE CRAFT TRAVELLING ACROSS THE SKY.WE HAVE NEVER SEEN ANYTHING LIKE THIS BEFORE,AND UP UNTLL LAST NIGHT I WAS A SKEPTIC.BUT IT WAS LIKE WATCHING A SI-FI INVASION FROM A MOVIE.WE MANAGED TO CAPTURE VIDEO BUT NOT SURE WHO TO SHOW IT TO.AMAZING,THERE REAL.",
20100101,20100101," Spring Valley, CA", light,10:00,"Three bright red lights in a straight line formationThree fairly bright red lights in a straight line. Lights moved southward very slowly in perfect formation. after about ten minutes, the center light dimmed slightely and appeared to desecend very slowly. one minute later all three lights dissapeared instantly. At first we thought it may have been a blimp, but the change inb formation and decent of the center light made it obvious that it was an unidentified object.  During the last five minutes of the lights appearance, we had been flashing a 2M candle spotlight directly at the undentified object.((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",
